Gear Type,Waypoint,Set Time,Pull time,Set Time,DO (mg/L),Temp ©,Turbidity (cm),Species,Length,Weight,Tag Number,Second Tag,Pannel Number,Bead Color,Mortality 0=Dead 1=Alive 
Gillnet,51,6/19/2019 11:15,6/19/2019 18:55,7.667,,,,Gizzard Shad,241,,,,2,,0
Gillnet,51,6/19/2019 11:15,6/19/2019 18:55,7.667,,,,Gizzard Shad,263,,,,2,,1
Gillnet,51,6/19/2019 11:15,6/19/2019 18:55,7.667,,,,Shortnose Gar,835,,,,6,,0
Gillnet,51,6/19/2019 11:15,6/19/2019 18:55,7.667,,,,Gizzard Shad,254,,,,6,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,275,,,,8,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,245,,,,8,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Shortnose Gar,905,,,,8,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,259,,,,8,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,262,,,,8,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,359,,,,7,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Skipjack Herring,295,,,,6,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,226,,,,6,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Spotted Gar,541,,,,0,,1
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Threadfin Shad,147,,,,0,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Threadfin Shad,136,,,,0,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Threadfin Shad,139,,,,0,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,230,,,,0,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,297,,,,0,,0
Gillnet,51,6/19/2019 19:15,6/20/2019 9:27,14.200,,,,Gizzard Shad,342,,,,0,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,142,,,,1,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,White Crappie,303,0.3,13037,13038,1,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Channel Catfish,536,2,,,1,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Channel Catfish,453,0.8,,,2,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,240,,,,2,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,328,,,,2,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,278,,,,2,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Channel Catfish,590,2,13041,,3,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,151,,,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,142,,,,4,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,181,,,,4,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,166,,,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,650,,,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Spotted Gar,690,,,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,145,,,,4,,0
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,142,,,,4,,1
Gillnet,68,6/18/2019 19:30,6/19/2019 10:43,15.217,9.300,28.700,42,Gizzard Shad,179,,,,4,,1
