"","ElevationBottom","Longitude","Latitude","optional"
"3150",-1.8,333687.763584393,3683626.06498902,TRUE
"3151",-2.2,333677.929240418,3683040.96763727,TRUE
"3152",-2.1,333672.421487111,3682718.32749499,TRUE
"3153",-1.7,333686.363179444,3683531.35848067,TRUE
"3154",-1.7,333688.369607789,3683646.34838308,TRUE
"3155",-1.8,333688.20897771,3683628.95457635,TRUE
"3156",-1.8,333688.517172029,3683631.82987311,TRUE
"3157",-2.1,333678.487621112,3683044.9056936,TRUE
"3158",-2.3,333673.54240759,3682755.04357722,TRUE
"3159",-1.8,333686.898859968,3683528.74271723,TRUE
"3160",-2,333673.149936068,3682719.89673953,TRUE
"3161",-1.8,333688.821868325,3683634.71854003,TRUE
"3162",-2.2,333678.997912772,3683049.24609945,TRUE
"3163",-1.9,333685.014007847,3683399.07172242,TRUE
"3164",-1.8,333688.219521956,3683585.78800376,TRUE
"3165",-1.7,333689.126640388,3683637.61164242,TRUE
"3166",-2.1,333679.40625734,3683053.61819739,TRUE
"3167",-1.7,333689.496782074,3683640.4592588,TRUE
"3168",-1.8,333689.110602597,3683616.90664498,TRUE
"3169",-2.1,333680.813481007,3683130.59855386,TRUE
"3170",-1.7,333687.628301944,3683525.798646,TRUE
"3171",-2.4,333674.581043986,3682759.33168615,TRUE
"3172",-2.2,333679.762196208,3683057.92242201,TRUE
"3173",-1.7,333689.905945244,3683643.35501201,TRUE
"3174",-2.1,333674.136633486,3682720.93026497,TRUE
"3175",-2.1,333680.109667034,3683061.94949395,TRUE
"3176",-1.7,333687.644946858,3683496.92833805,TRUE
"3177",-2.1,333680.4436153,3683066.16646876,TRUE
"3178",-1.8,333690.450330226,3683646.25843452,TRUE
"3179",-2.1,333680.772333158,3683070.45895801,TRUE
"3180",-1.7,333688.547890643,3683523.18629751,TRUE
"3181",-1.7,333691.651447164,3683702.74119673,TRUE
"3182",-2.3,333675.61425506,3682763.30265969,TRUE
"3183",-2.1,333681.101050866,3683074.75144728,TRUE
"3184",-2.2,333682.131472161,3683125.67449558,TRUE
"3185",-1.7,333689.527170678,3683550.58430949,TRUE
"3186",-2.2,333681.489718175,3683079.17157714,TRUE
"3187",-1.7,333691.261539014,3683648.85670131,TRUE
"3188",-2.1,333675.579094594,3682721.80847261,TRUE
"3189",-1.7,333692.810185591,3683725.65279346,TRUE
"3190",-2.2,333681.970776721,3683083.382708,TRUE
"3191",-1.7,333692.154075286,3683677.33766327,TRUE
"3192",-1.7,333689.520349462,3683520.34233294,TRUE
"3193",-2.3,333676.680222952,3682767.66350782,TRUE
"3194",-2.3,333682.760528015,3683121.16264033,TRUE
"3195",-1.8,333687.587651883,3683400.0714425,TRUE
"3196",-1.7,333692.071408565,3683651.70344989,TRUE
"3197",-2.4,333682.940808014,3683117.54026832,TRUE
"3198",-2.2,333682.440898284,3683087.77149643,TRUE
"3199",-2.3,333683.010856903,3683113.35631328,TRUE
"3200",-2.2,333683.072127625,3683108.55025265,TRUE
"3201",-2.1,333682.885564176,3683091.70706149,TRUE
"3202",-2.3,333683.143030496,3683104.41619662,TRUE
"3203",-1.7,333692.601032299,3683654.34313753,TRUE
"3204",-2.2,333683.21527831,3683100.41522046,TRUE
"3205",-1.7,333692.605746896,3683646.94031479,TRUE
"3206",-2.2,333683.283490065,3683096.06935518,TRUE
"3207",-1.8,333691.643900094,3683583.91145474,TRUE
"3208",-2.3,333677.799052061,3682771.62858031,TRUE
"3209",-1.7,333690.589803599,3683517.61317419,TRUE
