"","X","Z2","k","POINT_Z","Z","Z3","N","DawnDO_Mod","DawnDO_Mod2","combo","POINT_X","POINT_Y","optional"
"1165782",1165782,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333241.6_3684859",-88.7908828381629,33.2899200421937,TRUE
"1165783",1165783,2,0.06,66.28,2.05,1,3111,4.682917,5.317083,"333263.6_3684859",-88.7906466720266,33.2899234458615,TRUE
"1165784",1165784,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333183.6_3684857",-88.7915050892021,33.2898930356693,TRUE
"1165785",1165785,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333185.6_3684857",-88.7914836195689,33.2898933452194,TRUE
"1165786",1165786,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333187.6_3684857",-88.7914621499354,33.2898936547659,TRUE
"1165787",1165787,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333189.6_3684857",-88.7914406803016,33.2898939643086,TRUE
"1165788",1165788,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333191.6_3684857",-88.7914192106674,33.2898942738476,TRUE
"1165789",1165789,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333193.6_3684857",-88.7913977410329,33.2898945833829,TRUE
"1165790",1165790,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333195.6_3684857",-88.7913762713981,33.2898948929145,TRUE
"1165791",1165791,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333197.6_3684857",-88.7913548017629,33.2898952024424,TRUE
"1165792",1165792,2,0.06,66.36,1.97,1,3111,4.682917,5.317083,"333199.6_3684857",-88.7913333321274,33.2898955119666,TRUE
"1165793",1165793,2,0.06,66.35,1.98,1,3111,4.682917,5.317083,"333201.6_3684857",-88.7913118624916,33.2898958214871,TRUE
"1165794",1165794,2,0.06,66.34,1.99,1,3111,4.682917,5.317083,"333203.6_3684857",-88.7912903928555,33.2898961310039,TRUE
"1165795",1165795,2,0.06,66.32,2.01,1,3111,4.682917,5.317083,"333205.6_3684857",-88.791268923219,33.289896440517,TRUE
"1165796",1165796,2,0.06,66.29,2.04,1,3111,4.682917,5.317083,"333207.6_3684857",-88.7912474535822,33.2898967500263,TRUE
"1165797",1165797,2,0.06,66.33,2,1,3111,4.682917,5.317083,"333267.6_3684857",-88.7906033643257,33.2899060335842,TRUE
"1165798",1165798,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333177.6_3684855",-88.7915691295024,33.2898740759283,TRUE
"1165799",1165799,2,0.06,66.38,1.95,1,3111,4.682917,5.317083,"333179.6_3684855",-88.7915476598746,33.2898743854893,TRUE
"1165800",1165800,2,0.06,66.37,1.96,1,3111,4.682917,5.317083,"333181.6_3684855",-88.7915261902465,33.2898746950467,TRUE
